,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
0,1,1,1,1.0,35,37.76931,-122.43386,1,0,3,1.0,1.0,2.0,4,1.0,180.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
1,0,3,0,2.0,1,37.74511,-122.42102,1,0,5,1.0,2.0,3.0,4,30.0,111.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,235.0
2,0,3,0,10.0,11,37.76669,-122.4525,1,1,2,4.0,1.0,1.0,4,32.0,17.0,85.0,8.0,8.0,9.0,9.0,9.0,8.0,65.0
3,0,3,0,10.0,11,37.76487,-122.45183,1,1,2,4.0,1.0,1.0,4,32.0,8.0,93.0,9.0,9.0,10.0,10.0,9.0,9.0,65.0
5,0,1,0,1.0,35,37.78471,-122.44555,1,0,6,1.0,2.0,3.0,4,2.0,31.0,90.0,9.0,8.0,10.0,10.0,9.0,9.0,255.0
6,1,3,1,2.0,16,37.75919,-122.42237,8,1,3,1.0,1.0,2.0,4,1.0,647.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,139.0
7,0,3,0,1.0,26,37.76259,-122.40543,15,1,2,1.0,1.0,1.0,4,1.0,453.0,94.0,10.0,10.0,10.0,10.0,10.0,10.0,135.0
8,1,1,0,1.0,16,37.75874,-122.41327,1,0,6,1.0,2.0,3.0,4,3.0,320.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,265.0
9,0,3,0,44.0,11,37.77187,-122.43859,1,0,3,1.0,3.0,3.0,4,30.0,37.0,89.0,9.0,9.0,10.0,9.0,9.0,9.0,177.0
10,0,3,0,44.0,35,37.77355,-122.42436,1,0,5,2.0,3.0,3.0,4,30.0,14.0,91.0,10.0,10.0,10.0,9.0,10.0,9.0,194.0
12,0,3,0,10.0,11,37.77019,-122.44594,1,1,2,4.0,1.0,2.0,4,32.0,6.0,80.0,9.0,8.0,9.0,10.0,9.0,7.0,85.0
13,0,3,0,10.0,11,37.76894,-122.44778,1,1,2,3.0,1.0,2.0,4,32.0,5.0,64.0,6.0,6.0,10.0,9.0,9.0,8.0,85.0
14,1,3,1,1.0,2,37.76075,-122.43032,1,1,1,1.0,1.0,1.0,4,3.0,390.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,79.0
15,1,3,0,2.0,13,37.76203,-122.45455,22,0,3,1.0,2.0,3.0,4,30.0,16.0,95.0,9.0,9.0,9.0,9.0,9.0,9.0,136.0
16,0,1,0,1.0,16,37.75491,-122.42246,1,0,3,1.0,1.0,2.0,4,3.0,103.0,97.0,10.0,9.0,10.0,10.0,10.0,10.0,215.0
17,0,3,0,3.0,31,37.78647,-122.39072,8,0,4,2.0,2.0,2.0,4,90.0,14.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,450.0
18,1,3,0,1.0,18,37.74888,-122.42982,1,0,3,1.0,0.0,1.0,4,30.0,61.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,107.0
19,1,3,0,3.0,35,37.77252,-122.43216,22,1,2,1.0,1.0,1.0,4,2.0,363.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,110.0
20,1,1,0,1.0,16,37.76349,-122.41517,11,0,2,1.0,0.0,1.0,4,5.0,227.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,198.0
21,1,1,0,1.0,17,37.7958,-122.41533,17,0,2,1.0,1.0,1.0,4,30.0,119.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
22,0,3,0,10.0,11,37.7648,-122.45251,1,1,2,4.0,1.0,1.0,4,32.0,14.0,78.0,8.0,8.0,10.0,10.0,10.0,7.0,65.0
23,1,3,1,2.0,1,37.74556,-122.41207,8,1,1,1.0,1.0,1.0,4,3.0,234.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,100.0
24,1,3,0,1.0,2,37.75963,-122.44143,15,0,2,1.0,1.0,1.0,4,3.0,353.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
25,1,3,0,2.0,16,37.75146,-122.41248,1,0,2,1.0,1.0,1.0,4,30.0,67.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,95.0
26,1,1,0,1.0,18,37.74885,-122.43673,1,0,3,1.0,1.0,2.0,4,3.0,218.0,92.0,9.0,9.0,10.0,10.0,10.0,9.0,180.0
27,1,3,0,2.0,26,37.75645,-122.3991,1,1,2,1.0,1.0,1.0,4,2.0,272.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,155.0
28,1,0,0,1.0,11,37.77162,-122.43836,1,1,1,1.0,1.0,1.0,4,1.0,184.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,79.0
29,1,1,1,2.0,35,37.78716,-122.43386,11,0,4,1.0,1.0,2.0,4,5.0,281.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,195.0
30,1,1,0,1.0,18,37.74188,-122.43122,15,1,2,1.0,1.0,1.0,4,5.0,24.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,150.0
31,1,3,0,3.0,35,37.77729,-122.43421,22,1,2,1.0,1.0,1.0,4,2.0,399.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,110.0
32,1,1,0,1.0,26,37.76212,-122.39541,15,1,3,1.0,0.0,1.0,4,4.0,298.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
34,0,3,1,2.0,35,37.77478,-122.4315,1,0,10,2.0,4.0,7.0,4,2.0,31.0,90.0,9.0,8.0,9.0,9.0,9.0,9.0,450.0
35,0,1,0,1.0,2,37.76298,-122.43136,1,0,2,1.0,1.0,1.0,4,30.0,129.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,165.0
36,1,3,1,2.0,16,37.76098,-122.42158,8,1,4,1.0,1.0,2.0,4,1.0,25.0,96.0,10.0,10.0,10.0,10.0,10.0,9.0,199.0
37,1,3,0,3.0,1,37.73729,-122.41163,15,0,4,2.0,2.0,2.0,4,7.0,13.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,220.0
38,0,0,0,1.0,22,37.77931,-122.50518,1,0,4,1.0,1.0,2.0,4,2.0,37.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
39,1,1,0,6.0,28,37.78197,-122.45809,15,1,2,1.0,1.0,1.0,4,2.0,197.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
40,0,4,0,35.0,18,37.7483,-122.42488,11,0,2,1.0,1.0,2.0,4,30.0,20.0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0
41,0,1,0,2.0,1,37.74093,-122.42055,1,0,2,1.0,0.0,1.0,4,30.0,21.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0
42,1,3,1,6.0,16,37.76016,-122.41969,1,0,2,1.0,1.0,1.0,4,30.0,96.0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,108.0
43,0,1,0,1.0,28,37.78255,-122.44844,1,1,2,1.0,1.0,1.0,4,30.0,136.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0
44,0,0,0,4.0,2,37.76125,-122.43335,15,0,3,1.0,1.0,1.0,4,4.0,43.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0
45,1,1,0,1.0,1,37.74083,-122.41763,15,1,2,2.0,1.0,1.0,4,3.0,225.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
46,1,1,0,1.0,16,37.75611,-122.41866,1,0,4,1.0,2.0,2.0,4,1.0,76.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0
47,0,1,0,1.0,9,37.73557,-122.43302,15,0,3,1.0,0.0,2.0,4,30.0,146.0,89.0,9.0,8.0,9.0,9.0,9.0,9.0,126.0
48,1,3,1,1.0,17,37.79001,-122.41292,8,0,3,1.0,1.0,1.0,4,30.0,13.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
49,0,4,0,35.0,1,37.73356,-122.41851,1,0,2,1.0,0.0,2.0,4,30.0,6.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
